screen_name,fullname,text,timestamp,following,followers,num_tweets,location,num_likes,id,date_joined,num_days_joined,days_on_twitter
KI36bsxg8ozf6bg,ชัย สุขกายสบายใจ,"ดูข่าวให้ดี อย่าเชื่อข่าวปลอม แล้วค่อยมาแสดงึวาทคิดเห็นนะครับ
#รัฐบาลเตรียมพร้อม",2020-02-02 17:52:19,36,22,2673,-1,0,1201755584225107968,2019-12-02 22:50:00,86 days 01:10:00.000000000,86
thaiprong,รวมใจไทยปรองดอง," ข่าวดี!! แพทย์ราชวิถี รักษาผู้ป่วยโคโรนา อาการดีขึ้นภายใน 48 ชั่วโมง
#ไวรัสโคโรนา
#ไวรัสอู่ฮั่น
#รัฐบาลเตรียมพร้อม
#เสพสื่ออย่างมีสติ
#อย่าตื่นตระหนก
#Fakenews
#ข่าวปลอม
https://www.facebook.com/thaiprong2019/?modal=admin_todo_tour …pic.twitter.com/Pw1pg2ABZf",2020-02-02 15:15:13,304,99,78,-1,9,1209024400651014144,2019-12-23 00:14:00,65 days 23:46:00.000000000,65
KI36bsxg8ozf6bg,ชัย สุขกายสบายใจ,"ดูข่าวให้ดี อย่าเชื่อข่าวปลอม แล้วค่อยมาแสดงึวาทคิดเห็นนะครับ
#รัฐบาลเตรียมพร้อม",2020-02-02 17:52:19,36,22,2673,-1,0,1201755584225107968,2019-12-02 22:50:00,86 days 01:10:00.000000000,86
thaiprong,รวมใจไทยปรองดอง," ข่าวดี!! แพทย์ราชวิถี รักษาผู้ป่วยโคโรนา อาการดีขึ้นภายใน 48 ชั่วโมง
#ไวรัสโคโรนา
#ไวรัสอู่ฮั่น
#รัฐบาลเตรียมพร้อม
#เสพสื่ออย่างมีสติ
#อย่าตื่นตระหนก
#Fakenews
#ข่าวปลอม
https://www.facebook.com/thaiprong2019/?modal=admin_todo_tour …pic.twitter.com/Pw1pg2ABZf",2020-02-02 15:15:13,304,99,78,-1,9,1209024400651014144,2019-12-23 00:14:00,65 days 23:46:00.000000000,65
thaiprong,รวมใจไทยปรองดอง," อัปเดตไวรัส ""โคโรนา"" ประจำวันที่ 1 ก.พ. 63 ในไทย
#ไวรัสโคโรนา
#ไวรัสอู่ฮั่น
#รัฐบาลเตรียมพร้อม
#เสพสื่ออย่างมีสติ
#อย่าตื่นตระหนก
#Fakenews
#ข่าวปลอมpic.twitter.com/whYrkYzGEI",2020-02-01 15:34:33,304,99,78,-1,8,1209024400651014144,2019-12-23 00:14:00,65 days 23:46:00.000000000,65
Talone86913539,Talone,ต้องบอกว่ารัฐพยายามประชาสัมพันธ์ให้ผู้คนเกิดความตื่นตัวในการป้องกันไวรัส ขอบคุณกองทัพบกที่พยายามประชาสัมพันธ์ให้คนไทยได้รับรู้มากขึ้น #ไวรัสโคโรนา #ไวรัสอู่ฮั่น #รัฐบาลเตรียมพร้อม #เสพสื่ออย่างมีสติ #อย่าตื่นตระหนก,2020-02-01 06:18:07,123,4,234,-1,0,1201739583513231360,2019-12-02 21:47:00,86 days 02:13:00.000000000,86
Talone86913539,Talone,กระผมหนึ่งในพลเมืองคนไทย ขอเป็นกำลังใจให้คุณหมอ และทีมงานทุกๆท่านที่ทำหน้าอยู่ ณ จุดแสกนคัดกรอง ขอส่งกำลังใจให้พวกท่าน ขอให้พวกท่านทุกคนปลอดภัย ด้วยรักและห่วงใย #ไวรัสโคโรนา #ไวรัสอู่ฮั่น #รัฐบาลเตรียมพร้อม #เสพสื่ออย่างมีสติ #อย่าตื่นตระหนก,2020-02-01 06:04:59,123,4,234,-1,0,1201739583513231360,2019-12-02 21:47:00,86 days 02:13:00.000000000,86
jay96599246,jay,เป็นกำลังใจให้ครับ #รัฐบาลเตรียมพร้อม,2020-02-01 05:48:45,145,7,256,-1,1,1202832347541884928,2019-12-05 22:09:00,83 days 01:51:00.000000000,83
jay96599246,jay,ทหารของประชาชน #รัฐบาลเตรียมพร้อม,2020-02-01 05:47:12,145,7,256,-1,0,1202832347541884928,2019-12-05 22:09:00,83 days 01:51:00.000000000,83
narathon1982,Narathon1982,กระผมหนึ่งในพลเมืองคนไทย ขอเป็นกำลังใจให้คุณหมอ และทีมงานทุกๆท่านที่ทำหน้าอยู่ ณ คัดกรอง ขอส่งกำลังใจให้พวกท่าน ขอให้พวกท่านทุกคนปลอดภัย  #ไวรัสโคโรนา #ไวรัสอู่ฮั่น #รัฐบาลเตรียมพร้อม #เสพสื่ออย่างมีสติ #อย่าตื่นตระหนก,2020-02-01 01:34:30,48,2,143,-1,0,1204319952833925120,2019-12-10 00:40:00,78 days 23:20:00.000000000,78
