screen_name,fullname,text,timestamp,following,followers,num_tweets,location,num_likes,id,date_joined,num_days_joined,days_on_twitter,IO_meta_clf,isIO_meta_prob,is_IO,is_IO_prob
KI36bsxg8ozf6bg,ชัย สุขกายสบายใจ,"ดูข่าวให้ดี อย่าเชื่อข่าวปลอม แล้วค่อยมาแสดงึวาทคิดเห็นนะครับ
#รัฐบาลเตรียมพร้อม",2020-02-02 17:52:19,36,22,2673,-1,0,1201755584225107968,2019-12-02 22:50:00,86 days 01:10:00.000000000,86,1,0.9721725,1,0.9378242215313691
thaiprong,รวมใจไทยปรองดอง," ข่าวดี!! แพทย์ราชวิถี รักษาผู้ป่วยโคโรนา อาการดีขึ้นภายใน 48 ชั่วโมง
#ไวรัสโคโรนา
#ไวรัสอู่ฮั่น
#รัฐบาลเตรียมพร้อม
#เสพสื่ออย่างมีสติ
#อย่าตื่นตระหนก
#Fakenews
#ข่าวปลอม
https://www.facebook.com/thaiprong2019/?modal=admin_todo_tour …pic.twitter.com/Pw1pg2ABZf",2020-02-02 15:15:13,304,99,78,-1,9,1209024400651014144,2019-12-23 00:14:00,65 days 23:46:00.000000000,65,1,0.9169536,1,0.9177062405226849
KI36bsxg8ozf6bg,ชัย สุขกายสบายใจ,"ดูข่าวให้ดี อย่าเชื่อข่าวปลอม แล้วค่อยมาแสดงึวาทคิดเห็นนะครับ
#รัฐบาลเตรียมพร้อม",2020-02-02 17:52:19,36,22,2673,-1,0,1201755584225107968,2019-12-02 22:50:00,86 days 01:10:00.000000000,86,1,0.9721725,1,0.9378242215313691
thaiprong,รวมใจไทยปรองดอง," ข่าวดี!! แพทย์ราชวิถี รักษาผู้ป่วยโคโรนา อาการดีขึ้นภายใน 48 ชั่วโมง
#ไวรัสโคโรนา
#ไวรัสอู่ฮั่น
#รัฐบาลเตรียมพร้อม
#เสพสื่ออย่างมีสติ
#อย่าตื่นตระหนก
#Fakenews
#ข่าวปลอม
https://www.facebook.com/thaiprong2019/?modal=admin_todo_tour …pic.twitter.com/Pw1pg2ABZf",2020-02-02 15:15:13,304,99,78,-1,9,1209024400651014144,2019-12-23 00:14:00,65 days 23:46:00.000000000,65,1,0.9169536,1,0.9177062405226849
thaiprong,รวมใจไทยปรองดอง," อัปเดตไวรัส ""โคโรนา"" ประจำวันที่ 1 ก.พ. 63 ในไทย
#ไวรัสโคโรนา
#ไวรัสอู่ฮั่น
#รัฐบาลเตรียมพร้อม
#เสพสื่ออย่างมีสติ
#อย่าตื่นตระหนก
#Fakenews
#ข่าวปลอมpic.twitter.com/whYrkYzGEI",2020-02-01 15:34:33,304,99,78,-1,8,1209024400651014144,2019-12-23 00:14:00,65 days 23:46:00.000000000,65,1,0.9169536,1,0.8953826719707403
Talone86913539,Talone,ต้องบอกว่ารัฐพยายามประชาสัมพันธ์ให้ผู้คนเกิดความตื่นตัวในการป้องกันไวรัส ขอบคุณกองทัพบกที่พยายามประชาสัมพันธ์ให้คนไทยได้รับรู้มากขึ้น #ไวรัสโคโรนา #ไวรัสอู่ฮั่น #รัฐบาลเตรียมพร้อม #เสพสื่ออย่างมีสติ #อย่าตื่นตระหนก,2020-02-01 06:18:07,123,4,234,-1,0,1201739583513231360,2019-12-02 21:47:00,86 days 02:13:00.000000000,86,1,0.9514312,1,0.9114862574595444
Talone86913539,Talone,กระผมหนึ่งในพลเมืองคนไทย ขอเป็นกำลังใจให้คุณหมอ และทีมงานทุกๆท่านที่ทำหน้าอยู่ ณ จุดแสกนคัดกรอง ขอส่งกำลังใจให้พวกท่าน ขอให้พวกท่านทุกคนปลอดภัย ด้วยรักและห่วงใย #ไวรัสโคโรนา #ไวรัสอู่ฮั่น #รัฐบาลเตรียมพร้อม #เสพสื่ออย่างมีสติ #อย่าตื่นตระหนก,2020-02-01 06:04:59,123,4,234,-1,0,1201739583513231360,2019-12-02 21:47:00,86 days 02:13:00.000000000,86,1,0.9514312,1,0.9063837319977692
narathon1982,Narathon1982,กระผมหนึ่งในพลเมืองคนไทย ขอเป็นกำลังใจให้คุณหมอ และทีมงานทุกๆท่านที่ทำหน้าอยู่ ณ คัดกรอง ขอส่งกำลังใจให้พวกท่าน ขอให้พวกท่านทุกคนปลอดภัย  #ไวรัสโคโรนา #ไวรัสอู่ฮั่น #รัฐบาลเตรียมพร้อม #เสพสื่ออย่างมีสติ #อย่าตื่นตระหนก,2020-02-01 01:34:30,48,2,143,-1,0,1204319952833925120,2019-12-10 00:40:00,78 days 23:20:00.000000000,78,1,0.9141596,1,0.8789408799979088
thaiprong,รวมใจไทยปรองดอง," อัปเดตไวรัส ""โคโรนา"" ประจำวันที่ 1 ก.พ. 63 ในไทย
#ไวรัสโคโรนา
#ไวรัสอู่ฮั่น
#รัฐบาลเตรียมพร้อม
#เสพสื่ออย่างมีสติ
#อย่าตื่นตระหนก
#Fakenews
#ข่าวปลอมpic.twitter.com/whYrkYzGEI",2020-02-01 15:34:33,304,99,78,-1,8,1209024400651014144,2019-12-23 00:14:00,65 days 23:46:00.000000000,65,1,0.9169536,1,0.8953826719707403
Talone86913539,Talone,ต้องบอกว่ารัฐพยายามประชาสัมพันธ์ให้ผู้คนเกิดความตื่นตัวในการป้องกันไวรัส ขอบคุณกองทัพบกที่พยายามประชาสัมพันธ์ให้คนไทยได้รับรู้มากขึ้น #ไวรัสโคโรนา #ไวรัสอู่ฮั่น #รัฐบาลเตรียมพร้อม #เสพสื่ออย่างมีสติ #อย่าตื่นตระหนก,2020-02-01 06:18:07,123,4,234,-1,0,1201739583513231360,2019-12-02 21:47:00,86 days 02:13:00.000000000,86,1,0.9514312,1,0.9114862574595444
Talone86913539,Talone,กระผมหนึ่งในพลเมืองคนไทย ขอเป็นกำลังใจให้คุณหมอ และทีมงานทุกๆท่านที่ทำหน้าอยู่ ณ จุดแสกนคัดกรอง ขอส่งกำลังใจให้พวกท่าน ขอให้พวกท่านทุกคนปลอดภัย ด้วยรักและห่วงใย #ไวรัสโคโรนา #ไวรัสอู่ฮั่น #รัฐบาลเตรียมพร้อม #เสพสื่ออย่างมีสติ #อย่าตื่นตระหนก,2020-02-01 06:04:59,123,4,234,-1,0,1201739583513231360,2019-12-02 21:47:00,86 days 02:13:00.000000000,86,1,0.9514312,1,0.9063837319977692
narathon1982,Narathon1982,กระผมหนึ่งในพลเมืองคนไทย ขอเป็นกำลังใจให้คุณหมอ และทีมงานทุกๆท่านที่ทำหน้าอยู่ ณ คัดกรอง ขอส่งกำลังใจให้พวกท่าน ขอให้พวกท่านทุกคนปลอดภัย  #ไวรัสโคโรนา #ไวรัสอู่ฮั่น #รัฐบาลเตรียมพร้อม #เสพสื่ออย่างมีสติ #อย่าตื่นตระหนก,2020-02-01 01:34:30,48,2,143,-1,0,1204319952833925120,2019-12-10 00:40:00,78 days 23:20:00.000000000,78,1,0.9141596,1,0.8789408799979088
KI36bsxg8ozf6bg,ชัย สุขกายสบายใจ,"งานที่ทำ ดังกว่าคำที่พูด 
เจ้าหน้าที่รัฐได้พิสูจน์ ให้เห็น ว่าท่าน ตั้งใจในการแก้ปัญหา
แต่คนที่มองอย่างอคติ ก็ดูเป็นลบเสมอ
ผมเห็นเจ้าหน้ารัฐ ตั้งใจปฏิบัติหน้าที่ และ ใส่ใจในปัญหา ครับ
#รัฐบาลเตรียมพร้อม",2020-02-03 16:53:41,36,22,2673,-1,0,1201755584225107968,2019-12-02 22:50:00,86 days 01:10:00.000000000,86,1,0.9721725,1,0.9390186602785462
KI36bsxg8ozf6bg,ชัย สุขกายสบายใจ,"เราประชาชน คนไทยด้วยกัน ต้องช่วยกันประชาสัมพันธ์ เกี่ยวกับเรื่องนี้ด้วยนะครับ อย่าปล่อยให้เป็นหน้าที่ของใครคนหนึ่ง หรือหน่วยงานใด หน่วยงานหนึ่ง
#รัฐบาลเตรียมพร้อม
#ทหารเป็นที่พึ่งของประชาชน",2020-02-03 16:50:25,36,22,2673,-1,0,1201755584225107968,2019-12-02 22:50:00,86 days 01:10:00.000000000,86,1,0.9721725,1,0.9400245725018631
KI36bsxg8ozf6bg,ชัย สุขกายสบายใจ,"ขอบคุณสื่อดีๆ ดูแล้วเข้าใจง่ายครับ
#รัฐบาลเตรียมพร้อม",2020-02-03 16:46:30,36,22,2673,-1,0,1201755584225107968,2019-12-02 22:50:00,86 days 01:10:00.000000000,86,1,0.9721725,1,0.9403835630031417
KI36bsxg8ozf6bg,ชัย สุขกายสบายใจ,"เมื่อเกิดปัญหา เจ้าหน้าที่รัฐ ต้องใส่ ใจ แบบที่ทำอย่างนี้ นะครับ
#เรารักทหาร
#รัฐบาลเตรียมพร้อม",2020-02-03 16:44:22,36,22,2673,-1,0,1201755584225107968,2019-12-02 22:50:00,86 days 01:10:00.000000000,86,1,0.9721725,1,0.9423016718047796
KI36bsxg8ozf6bg,ชัย สุขกายสบายใจ,"ทุกภาคส่วน ต้องร่วมด้วยช่วยกัน
ผมเห็นสิ่งที่รัฐบาลทำ เรื่องบางเรื่องเป็นสิ่งที่ดีก็ชื่นชม
ถ้าไม่ดี ก็ติ
แต่ครั้งนี้ ขอชื่นชมเจ้าหน้ารัฐ และทุกภาค ส่วนที่ทำให้งานขับเคลื่อน ครับ
#รัฐบาลเตรียมพร้อม",2020-02-03 16:41:52,36,22,2673,-1,0,1201755584225107968,2019-12-02 22:50:00,86 days 01:10:00.000000000,86,1,0.9721725,1,0.9419533275869418
KI36bsxg8ozf6bg,ชัย สุขกายสบายใจ,"เจ้าหน้าที่รัฐ ทุ่มเท ให้การทำหน้าที่ ขอชื่นชมครับ
#รัฐบาลเตรียมพร้อม",2020-02-03 16:24:12,36,22,2673,-1,0,1201755584225107968,2019-12-02 22:50:00,86 days 01:10:00.000000000,86,1,0.9721725,1,0.9437919327788256
KI36bsxg8ozf6bg,ชัย สุขกายสบายใจ,กองทัพดูแลใส่ใจ บ้านเมือง #รัฐบาลเตรียมพร้อม,2020-02-03 16:13:34,36,22,2673,-1,0,1201755584225107968,2019-12-02 22:50:00,86 days 01:10:00.000000000,86,1,0.9721725,1,0.9485470996402684
KI36bsxg8ozf6bg,ชัย สุขกายสบายใจ,"ผมประชาชนคนหนึ่ง จดจำในสิ่งที่ เจ้าหน้ารัฐทำ คือการช่วยเหลือประชาชน อย่างเสียสละ พร้มทั้งห่วงใยใส่ใจสุขภาพ ผู้ที่เดินทางมาที่เมืองไทยครับครับ
#รัฐบาลเตรียมพร้อม",2020-02-03 16:10:57,36,22,2673,-1,0,1201755584225107968,2019-12-02 22:50:00,86 days 01:10:00.000000000,86,1,0.9721725,1,0.9410413801745175
KI36bsxg8ozf6bg,ชัย สุขกายสบายใจ,"เพื่อรักษา และ ระวังป้องกัน เจ้าหน้าที่รัฐ ผมดูว่าพร้อมครับ
#รัฐบาลเตรียมพร้อม",2020-02-03 15:58:04,36,22,2673,-1,0,1201755584225107968,2019-12-02 22:50:00,86 days 01:10:00.000000000,86,1,0.9721725,1,0.9450241927919509
KI36bsxg8ozf6bg,ชัย สุขกายสบายใจ,"งานที่ทำ ดังกว่าคำที่พูด 
เจ้าหน้าที่รัฐได้พิสูจน์ ให้เห็น ว่าท่าน ตั้งใจในการแก้ปัญหา
แต่คนที่มองอย่างอคติ ก็ดูเป็นลบเสมอ
ผมเห็นเจ้าหน้ารัฐ ตั้งใจปฏิบัติหน้าที่ และ ใส่ใจในปัญหา ครับ
#รัฐบาลเตรียมพร้อม",2020-02-03 16:53:41,36,22,2673,-1,0,1201755584225107968,2019-12-02 22:50:00,86 days 01:10:00.000000000,86,1,0.9721725,1,0.9390186602785462
KI36bsxg8ozf6bg,ชัย สุขกายสบายใจ,"เราประชาชน คนไทยด้วยกัน ต้องช่วยกันประชาสัมพันธ์ เกี่ยวกับเรื่องนี้ด้วยนะครับ อย่าปล่อยให้เป็นหน้าที่ของใครคนหนึ่ง หรือหน่วยงานใด หน่วยงานหนึ่ง
#รัฐบาลเตรียมพร้อม
#ทหารเป็นที่พึ่งของประชาชน",2020-02-03 16:50:25,36,22,2673,-1,0,1201755584225107968,2019-12-02 22:50:00,86 days 01:10:00.000000000,86,1,0.9721725,1,0.9400245725018631
KI36bsxg8ozf6bg,ชัย สุขกายสบายใจ,"ขอบคุณสื่อดีๆ ดูแล้วเข้าใจง่ายครับ
#รัฐบาลเตรียมพร้อม",2020-02-03 16:46:30,36,22,2673,-1,0,1201755584225107968,2019-12-02 22:50:00,86 days 01:10:00.000000000,86,1,0.9721725,1,0.9403835630031417
KI36bsxg8ozf6bg,ชัย สุขกายสบายใจ,"เมื่อเกิดปัญหา เจ้าหน้าที่รัฐ ต้องใส่ ใจ แบบที่ทำอย่างนี้ นะครับ
#เรารักทหาร
#รัฐบาลเตรียมพร้อม",2020-02-03 16:44:22,36,22,2673,-1,0,1201755584225107968,2019-12-02 22:50:00,86 days 01:10:00.000000000,86,1,0.9721725,1,0.9423016718047796
KI36bsxg8ozf6bg,ชัย สุขกายสบายใจ,"ทุกภาคส่วน ต้องร่วมด้วยช่วยกัน
ผมเห็นสิ่งที่รัฐบาลทำ เรื่องบางเรื่องเป็นสิ่งที่ดีก็ชื่นชม
ถ้าไม่ดี ก็ติ
แต่ครั้งนี้ ขอชื่นชมเจ้าหน้ารัฐ และทุกภาค ส่วนที่ทำให้งานขับเคลื่อน ครับ
#รัฐบาลเตรียมพร้อม",2020-02-03 16:41:52,36,22,2673,-1,0,1201755584225107968,2019-12-02 22:50:00,86 days 01:10:00.000000000,86,1,0.9721725,1,0.9419533275869418
KI36bsxg8ozf6bg,ชัย สุขกายสบายใจ,"เจ้าหน้าที่รัฐ ทุ่มเท ให้การทำหน้าที่ ขอชื่นชมครับ
#รัฐบาลเตรียมพร้อม",2020-02-03 16:24:12,36,22,2673,-1,0,1201755584225107968,2019-12-02 22:50:00,86 days 01:10:00.000000000,86,1,0.9721725,1,0.9437919327788256
KI36bsxg8ozf6bg,ชัย สุขกายสบายใจ,กองทัพดูแลใส่ใจ บ้านเมือง #รัฐบาลเตรียมพร้อม,2020-02-03 16:13:34,36,22,2673,-1,0,1201755584225107968,2019-12-02 22:50:00,86 days 01:10:00.000000000,86,1,0.9721725,1,0.9485470996402684
KI36bsxg8ozf6bg,ชัย สุขกายสบายใจ,"ผมประชาชนคนหนึ่ง จดจำในสิ่งที่ เจ้าหน้ารัฐทำ คือการช่วยเหลือประชาชน อย่างเสียสละ พร้มทั้งห่วงใยใส่ใจสุขภาพ ผู้ที่เดินทางมาที่เมืองไทยครับครับ
#รัฐบาลเตรียมพร้อม",2020-02-03 16:10:57,36,22,2673,-1,0,1201755584225107968,2019-12-02 22:50:00,86 days 01:10:00.000000000,86,1,0.9721725,1,0.9410413801745175
KI36bsxg8ozf6bg,ชัย สุขกายสบายใจ,"เพื่อรักษา และ ระวังป้องกัน เจ้าหน้าที่รัฐ ผมดูว่าพร้อมครับ
#รัฐบาลเตรียมพร้อม",2020-02-03 15:58:04,36,22,2673,-1,0,1201755584225107968,2019-12-02 22:50:00,86 days 01:10:00.000000000,86,1,0.9721725,1,0.9450241927919509
