coder1,coder2,coder3,screen_name_tweets,fullname,text,timestamp,following,followers,num_tweets,location,num_likes,id,date_joined,num_days_joined,days_on_twitter
1,1,1,trueman98587845,trueman,สู้ๆ นะครับ เป็นกำลังใจให้ เจ้าหน้าที่ทุกคน มันเหนื่อยจริงๆ #ไวรัสโคโรนา #ไวรัสอู่ฮั่น #รัฐบาลเตรียมพร้อม #เสพสื่ออย่างมีสติ #อย่าตื่นตระหนก #ทหารที่พึ่งของประชาชนทุกโอกาส,2020-01-28 13:27:29,30,4,1032,,502,1220152441666039808,2020-01-22 17:13:00,35 days 06:47:00.000000000,35
1,1,1,KI36bsxg8ozf6bg,ชัย สุขกายสบายใจ,"เพื่อรักษา และ ระวังป้องกัน เจ้าหน้าที่รัฐ ผมดูว่าพร้อมครับ
#รัฐบาลเตรียมพร้อม",2020-02-03 15:58:04,36,22,2673,,770,1201755584225107968,2019-12-02 22:50:00,86 days 01:10:00.000000000,86
1,1,1,daengbile436,แดง ไบเล่,"ข่าวปลอม  ไม่จริง ไม่ควรแชร์ต่อ
#ไวรัสโคโรนา
#ไวรัสอู่ฮั่น
#รัฐบาลเตรียมพร้อม
#เสพสื่ออย่างมีสติ
#อย่าตื่นตระหนกhttps://twitter.com/daengbile436/status/1222364340273041409 …",2020-01-29 3:46:25,38,5,1234,,21,1219487869049307136,2020-01-20 21:12:00,37 days 02:48:00.000000000,37
1,1,1,trueman98587845,trueman,กระผมหนึ่งในพลเมืองคนไทย ขอเป็นกำลังใจให้คุณหมอ และทีมงานทุกๆท่านที่ทำหน้าอยู่ ณ จุดแสกนคัดกรอง ขอส่งกำลังใจให้พวกท่าน ขอให้พวกท่านทุกคนปลอดภัย ด้วยรักและห่วงใย #ไวรัสโคโรนา #ไวรัสอู่ฮั่น #รัฐบาลเตรียมพร้อม #เสพสื่ออย่างมีสติ #อย่าตื่นตระหนก,2020-01-31 3:22:40,30,4,1032,,502,1220152441666039808,2020-01-22 17:13:00,35 days 06:47:00.000000000,35
1,1,1,thaiprong,รวมใจไทยปรองดอง,"ขอร้องทุกคนช่วยเสพสื่ออย่างมีสติ อย่าแชร์ข่าวปลอม เพราะจะสร้างความตื่นตระหนกให้กับคนไทย ซึ่งรัฐบาล ไทยได้เตรียมความพร้อมรับสถานการณ์การระบาดของไวรัสโคโรนาไว้แล้ว #ไวรัสโคโรนาสายพันธุ์ใหม่2019
#ไวรัสอู่ฮั่น
#รัฐบาลเตรียมพร้อม
#เสพสื่ออย่างมีสติ
#อย่าตื่นตระหนกhttps://twitter.com/suchartonly/status/1221766595925536768 …",2020-01-28 8:28:56,304,99,78,,395,1209024400651014144,2019-12-23 00:14:00,65 days 23:46:00.000000000,65
1,1,1,trueman98587845,trueman,กระผมหนึ่งในพลเมืองคนไทย ขอเป็นกำลังใจให้คุณหมอ และทีมงานทุกๆท่านที่ทำหน้าอยู่ ณ จุดแสกนคัดกรอง ขอส่งกำลังใจให้พวกท่าน ขอให้พวกท่านทุกคนปลอดภัย ด้วยรักและห่วงใย #ไวรัสโคโรนา #ไวรัสอู่ฮั่น #รัฐบาลเตรียมพร้อม #เสพสื่ออย่างมีสติ #อย่าตื่นตระหนกhttps://twitter.com/armypr_news/status/1222899107930333187 …,2020-01-31 3:22:46,30,4,1032,,502,1220152441666039808,2020-01-22 17:13:00,35 days 06:47:00.000000000,35
1,1,1,trueman98587845,trueman,ต้องบอกว่ารัฐพยายามประชาสัมพันธ์ให้ผู้คนเกิดความตื่นตัวในการป้องกันไวรัส #ไวรัสโคโรนา #ไวรัสอู่ฮั่น #รัฐบาลเตรียมพร้อม #เสพสื่ออย่างมีสติ #อย่าตื่นตระหนก สธ.ต้องเร็วต่อข่าวสารคิดว่า แถลงตอนเย็น ไม่พอ ท่านต้องพยายาม ออกสัก 3 เวลา ผู้คนจะได้อุ่นใจ,2020-01-31 3:27:51,30,4,1032,,502,1220152441666039808,2020-01-22 17:13:00,35 days 06:47:00.000000000,35
1,1,1,KI36bsxg8ozf6bg,ชัย สุขกายสบายใจ,"ผมประชาชนคนหนึ่ง จดจำในสิ่งที่ เจ้าหน้ารัฐทำ คือการช่วยเหลือประชาชน อย่างเสียสละ พร้มทั้งห่วงใยใส่ใจสุขภาพ ผู้ที่เดินทางมาที่เมืองไทยครับครับ
#รัฐบาลเตรียมพร้อม",2020-02-03 16:10:57,36,22,2673,,770,1201755584225107968,2019-12-02 22:50:00,86 days 01:10:00.000000000,86
1,1,1,tawannak32,ทวารหนัก,"ข่าวปลอมครับ
ใช้วิจารณญาณในการวิเคราะห์ด้วยน่ะครับ
ควรเชื่อแหล่งข่าวที่เชื่อถือได้
#ไวรัสโคโรนา
#ไวรัสอู่ฮั่น
#รัฐบาลเตรียมพร้อม
#เสพสื่ออย่างมีสติ
#อย่าตื่นตระหนก
#Fakenews
#ข่าวปลอมhttps://twitter.com/AFNCThailand/status/1222688151975579648 …",2020-01-30 13:34:49,34,5,107,,8,1212927650873786368,2020-01-02 18:44:00,55 days 05:16:00.000000000,55
1,1,1,trueman98587845,trueman,กระผมหนึ่งในพลเมืองคนไทย ขอเป็นกำลังใจให้คุณหมอ และทีมงานทุกๆท่านที่ทำหน้าอยู่ ณ จุดแสกนคัดกรอง ขอส่งกำลังใจให้พวกท่าน ขอให้พวกท่านทุกคนปลอดภัย ด้วยรักและห่วงใย #ไวรัสโคโรนา #ไวรัสอู่ฮั่น #รัฐบาลเตรียมพร้อม #เสพสื่ออย่างมีสติ #อย่าตื่นตระหนก,2020-01-30 3:14:39,30,4,1032,,502,1220152441666039808,2020-01-22 17:13:00,35 days 06:47:00.000000000,35
